judet,localitate,tip artera,denumire artera,numar,codpostal,sector
Bucuresti,Bucuresti,Stradă,"Mincu Ion, arh.",nr. 21-T,11357,1
Bucuresti,Bucuresti,Stradă,"Mincu Ion, arh.",nr. 14-T,11359,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 1-25,11421,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 27-45,11422,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 47-69,11423,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 71-T,11424,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 2-24,11425,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 26-50,11426,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 52-72,11427,1
Bucuresti,Bucuresti,Stradă,Porumbaru Emanoil,nr. 74-T,11428,1
Bucuresti,Bucuresti,Stradă,Popa Savu,nr. 1-33,11431,1
Bucuresti,Bucuresti,Stradă,Popa Savu,nr. 35-T,11432,1
Bucuresti,Bucuresti,Stradă,Popa Savu,nr. 2-40,11433,1
Bucuresti,Bucuresti,Stradă,Popa Savu,nr. 42-T,11434,1
Bucuresti,Bucuresti,Stradă,Drăghiceanu Virgil,nr. 1-T,11435,1
Bucuresti,Bucuresti,Stradă,Drăghiceanu Virgil,nr. 2-T,11436,1
Bucuresti,Bucuresti,Stradă,"Cantacuzino Ioan, prof. dr.",nr. 1-T,11437,1
Bucuresti,Bucuresti,Stradă,"Cantacuzino Ioan, prof. dr.",nr. 2-T,11438,1
Bucuresti,Bucuresti,Stradă,Uruguay,nr. 17-T,11444,1
Bucuresti,Bucuresti,Stradă,Uruguay,nr. 16-T,11446,1
Bucuresti,Bucuresti,Şosea,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 9-29,11342,1
Bucuresti,Bucuresti,Şosea,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 31-55,11343,1
Bucuresti,Bucuresti,Şosea,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 6-24,11346,1
Bucuresti,Bucuresti,Stradă,Docenţilor,nr. 1-5,11401,1
Bucuresti,Bucuresti,Stradă,Docenţilor,nr. 2-14,11403,1
Bucuresti,Bucuresti,Stradă,Tuberozelor,,11411,1
Bucuresti,Bucuresti,Stradă,Brătianu Gheorghe,nr. 1-T,11412,1
Bucuresti,Bucuresti,Stradă,Brătianu Gheorghe,nr. 2-32,11413,1
Bucuresti,Bucuresti,Stradă,Brătianu Gheorghe,nr. 34-T,11414,1
Bucuresti,Bucuresti,Stradă,"Burcuş Ştefan, arh.",,11415,1
Bucuresti,Bucuresti,Intrare,"Burcuş Ştefan, arh.",,11416,1
Bucuresti,Bucuresti,Stradă,Alexandrina,nr. 1-T,11441,1
Bucuresti,Bucuresti,Stradă,Alexandrina,nr. 2-T,11442,1
Bucuresti,Bucuresti,Stradă,Uruguay,nr. 1-15,11443,1
Bucuresti,Bucuresti,Stradă,Uruguay,nr. 2-14,11445,1
Bucuresti,Bucuresti,Stradă,"Şonţu Gheorghe, mr.",nr. 1-T,11447,1
Bucuresti,Bucuresti,Stradă,"Şonţu Gheorghe, mr.",nr. 2-T,11448,1
Bucuresti,Bucuresti,Bulevard,Prezan Constantin,nr. 1-T,11451,1
Bucuresti,Bucuresti,Bulevard,Prezan Constantin,nr. 2-T,11452,1
Bucuresti,Bucuresti,Piaţă,Arcul de Triumf,,11453,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 108-126,11203,1
Bucuresti,Bucuresti,Piaţă,"Mândrescu Simion, prof. univ.",,11399,1
Bucuresti,Bucuresti,Bulevard,"Averescu Alexandru, mareşal",nr. 1-T,11454,1
Bucuresti,Bucuresti,Bulevard,"Averescu Alexandru, mareşal",nr. 2-32,11455,1
Bucuresti,Bucuresti,Bulevard,"Averescu Alexandru, mareşal",nr. 34-42,11456,1
Bucuresti,Bucuresti,Bulevard,"Averescu Alexandru, mareşal",nr. 44-T,11457,1
Bucuresti,Bucuresti,Intrare,Miciurin V.I.,,11458,1
Bucuresti,Bucuresti,Stradă,Mănăstirea Caşin,,11459,1
Bucuresti,Bucuresti,Bulevard,Mărăşti,nr. 19-29,11462,1
Bucuresti,Bucuresti,Bulevard,Mărăşti,nr. 2-16,11467,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 128-138,11204,1
Bucuresti,Bucuresti,Bulevard,Mărăşti,nr. 1-17,11461,1
Bucuresti,Bucuresti,Stradă,Constantinescu Alexandru,nr. 1-35,11471,1
Bucuresti,Bucuresti,Stradă,Constantinescu Alexandru,nr. 37-T,11472,1
Bucuresti,Bucuresti,Stradă,Constantinescu Alexandru,nr. 2-28,11473,1
Bucuresti,Bucuresti,Stradă,Constantinescu Alexandru,nr. 30-T,11474,1
Bucuresti,Bucuresti,Stradă,"Sănătescu Ştefan, mr. av.",nr. 1-29,11475,1
Bucuresti,Bucuresti,Stradă,"Sănătescu Ştefan, mr. av.",nr. 31-T,11476,1
Bucuresti,Bucuresti,Stradă,"Sănătescu Ştefan, mr. av.",nr. 2-32,11477,1
Bucuresti,Bucuresti,Stradă,"Sănătescu Ştefan, mr. av.",nr. 34-T,11478,1
Bucuresti,Bucuresti,Alee,"Stâlpeanu M. Gheorghe, lt. av.",nr. 1-T,11481,1
Bucuresti,Bucuresti,Alee,"Stâlpeanu M. Gheorghe, lt. av.",nr. 2-T,11482,1
Bucuresti,Bucuresti,Stradă,Delavrancea Barbu,nr. 15A-31,11352,1
Bucuresti,Bucuresti,Stradă,Delavrancea Barbu,nr. 33-T,11353,1
Bucuresti,Bucuresti,Stradă,Delavrancea Barbu,nr. 4-T,11355,1
Bucuresti,Bucuresti,Stradă,Clucerului,nr. 1-15,11361,1
Bucuresti,Bucuresti,Stradă,Clucerului,nr. 17-27,11362,1
